	ASCL1neg_corr	ASCL1neg_pval	ASCL1neg_qval	ASCL1neg_ci_low	ASCL1neg_ci_high	ASCL1pos_corr	ASCL1pos_pval	ASCL1pos_qval	ASCL1pos_ci_low	ASCL1pos_ci_high
PLEKHH2	0.7496675344357223	0.0	0.0	0.7458599957824824	0.7534260849767159	-0.7496592356756699	0.0	0.0	-0.7534178932562831	-0.745851589133524
CACNA2D1	0.6954291056238264	0.0	0.0	0.6909423240926493	0.6998623114804805	-0.6954132290733801	0.0	0.0	-0.6998466251105641	-0.6909262562938937
LHFPL3	0.666523626527314	0.0	0.0	0.6616959921344144	0.6712959975241767	-0.6665175087731124	0.0	0.0	-0.6712899500521634	-0.6616898037943515
LINC00616	0.6594549156356384	0.0	0.0	0.6545461620149211	0.66430806982423	-0.6594466727436171	0.0	0.0	-0.6642999206390257	-0.654537825041507
LINC02113	0.6309540733747787	0.0	0.0	0.6257271539407182	0.6361243344648045	-0.6309486655909465	0.0	0.0	-0.6361189855397592	-0.6257216871413684
CDH2	0.566517510794965	0.0	0.0	0.560623817663958	0.572353810568456	-0.5665056899955943	0.0	0.0	-0.5723421054729373	-0.5606118812263858
PRKCA	0.5594039058119877	0.0	0.0	0.5534410658291097	0.5653094047006076	-0.5593949985054919	0.0	0.0	-0.5653005835018451	-0.5534320724962734
BARHL1	0.5587686061055737	0.0	0.0	0.5527996339154785	0.5646802431062127	-0.5587591836455825	0.0	0.0	-0.5646709116320391	-0.5527901205587669
PPFIA2	0.5537392699951892	0.0	0.0	0.5477220019463861	0.5596992567058208	-0.553729962662688	0.0	0.0	-0.5596900384504783	-0.5477126056480415
EPHA5-AS1	0.5531550496568012	0.0	0.0	0.5471322001734912	0.5591206248723958	-0.5531483615660593	0.0	0.0	-0.5591140007246038	-0.54712544822172
AMPH	0.5492068919149885	0.0	0.0	0.5431464798997703	0.5552100818657832	-0.5492003468977493	0.0	0.0	-0.5552035989836032	-0.5431398728403891
PCSK1	0.5485866120643519	0.0	0.0	0.5425203235689908	0.5545956873946912	-0.5485712044081078	0.0	0.0	-0.5545804258469768	-0.5425047700276825
