cluster	original_n	valid_n	doublets	doublet_pct	original_frac	valid_frac	frac_delta_pp
0	11289	10976	313	2.77	0.2182	0.2214	0.32
1	9427	9376	51	0.54	0.1822	0.1892	0.7
2	5840	5632	208	3.56	0.1129	0.1136	0.07
3	5013	4483	530	10.57	0.0969	0.0904	-0.65
4	4025	3891	134	3.33	0.0778	0.0785	0.07
5	2808	2655	153	5.45	0.0543	0.0536	-0.07
6	2634	2442	192	7.29	0.0509	0.0493	-0.16
7	2588	2582	6	0.23	0.05	0.0521	0.21
8	1866	1641	225	12.06	0.0361	0.0331	-0.3
9	1757	1561	196	11.16	0.034	0.0315	-0.25
10	1136	1070	66	5.81	0.022	0.0216	-0.04
11	1050	1025	25	2.38	0.0203	0.0207	0.04
12	770	770	0	0.0	0.0149	0.0155	0.06
13	681	627	54	7.93	0.0132	0.0126	-0.06
14	314	314	0	0.0	0.0061	0.0063	0.02
15	255	255	0	0.0	0.0049	0.0051	0.02
16	145	142	3	2.07	0.0028	0.0029	0.01
17	128	126	2	1.56	0.0025	0.0025	0.0
