timepoint	tp_order	cluster	original_n	valid_n	doublets	doublet_pct
PreCx	0	0	12	12	0	0.0
wk2	1	0	123	123	0	0.0
wk4	2	0	283	281	2	0.71
wk8	3	0	705	690	15	2.13
wk12	4	0	9782	9491	291	2.97
wk16	5	0	363	359	4	1.1
wk20	6	0	9	8	1	11.11
wk22	7	0	12	12	0	0.0
PreCx	0	1	0	0	0	0.0
wk2	1	1	0	0	0	0.0
wk4	2	1	0	0	0	0.0
wk8	3	1	0	0	0	0.0
wk12	4	1	0	0	0	0.0
wk16	5	1	0	0	0	0.0
wk20	6	1	83	81	2	2.41
wk22	7	1	9344	9295	49	0.52
PreCx	0	2	18	18	0	0.0
wk2	1	2	2914	2807	107	3.67
wk4	2	2	2551	2456	95	3.72
wk8	3	2	230	227	3	1.3
wk12	4	2	59	57	2	3.39
wk16	5	2	59	59	0	0.0
wk20	6	2	9	8	1	11.11
wk22	7	2	0	0	0	0.0
PreCx	0	3	0	0	0	0.0
wk2	1	3	0	0	0	0.0
wk4	2	3	0	0	0	0.0
wk8	3	3	0	0	0	0.0
wk12	4	3	0	0	0	0.0
wk16	5	3	0	0	0	0.0
wk20	6	3	113	107	6	5.31
wk22	7	3	4900	4376	524	10.69
PreCx	0	4	68	67	1	1.47
wk2	1	4	850	845	5	0.59
wk4	2	4	381	369	12	3.15
wk8	3	4	80	77	3	3.75
wk12	4	4	286	278	8	2.8
wk16	5	4	2298	2194	104	4.53
wk20	6	4	35	34	1	2.86
wk22	7	4	27	27	0	0.0
PreCx	0	5	0	0	0	0.0
wk2	1	5	1224	1133	91	7.43
wk4	2	5	1530	1471	59	3.86
wk8	3	5	5	5	0	0.0
wk12	4	5	14	14	0	0.0
wk16	5	5	18	16	2	11.11
wk20	6	5	17	16	1	5.88
wk22	7	5	0	0	0	0.0
PreCx	0	6	223	188	35	15.7
wk2	1	6	93	84	9	9.68
wk4	2	6	36	22	14	38.89
wk8	3	6	46	36	10	21.74
wk12	4	6	1349	1315	34	2.52
wk16	5	6	879	790	89	10.13
wk20	6	6	3	2	1	33.33
wk22	7	6	5	5	0	0.0
PreCx	0	7	0	0	0	0.0
wk2	1	7	0	0	0	0.0
wk4	2	7	0	0	0	0.0
wk8	3	7	0	0	0	0.0
wk12	4	7	0	0	0	0.0
wk16	5	7	0	0	0	0.0
wk20	6	7	33	32	1	3.03
wk22	7	7	2555	2550	5	0.2
PreCx	0	8	33	33	0	0.0
wk2	1	8	588	486	102	17.35
wk4	2	8	460	355	105	22.83
wk8	3	8	57	51	6	10.53
wk12	4	8	600	595	5	0.83
wk16	5	8	122	115	7	5.74
wk20	6	8	4	4	0	0.0
wk22	7	8	2	2	0	0.0
PreCx	0	9	0	0	0	0.0
wk2	1	9	0	0	0	0.0
wk4	2	9	0	0	0	0.0
wk8	3	9	0	0	0	0.0
wk12	4	9	0	0	0	0.0
wk16	5	9	0	0	0	0.0
wk20	6	9	117	117	0	0.0
wk22	7	9	1640	1444	196	11.95
PreCx	0	10	0	0	0	0.0
wk2	1	10	0	0	0	0.0
wk4	2	10	1	1	0	0.0
wk8	3	10	3	3	0	0.0
wk12	4	10	100	100	0	0.0
wk16	5	10	134	132	2	1.49
wk20	6	10	829	768	61	7.36
wk22	7	10	69	66	3	4.35
PreCx	0	11	1044	1020	24	2.3
wk2	1	11	0	0	0	0.0
wk4	2	11	0	0	0	0.0
wk8	3	11	0	0	0	0.0
wk12	4	11	0	0	0	0.0
wk16	5	11	5	4	1	20.0
wk20	6	11	1	1	0	0.0
wk22	7	11	0	0	0	0.0
PreCx	0	12	8	8	0	0.0
wk2	1	12	212	212	0	0.0
wk4	2	12	22	22	0	0.0
wk8	3	12	12	12	0	0.0
wk12	4	12	462	462	0	0.0
wk16	5	12	52	52	0	0.0
wk20	6	12	2	2	0	0.0
wk22	7	12	0	0	0	0.0
PreCx	0	13	0	0	0	0.0
wk2	1	13	0	0	0	0.0
wk4	2	13	0	0	0	0.0
wk8	3	13	0	0	0	0.0
wk12	4	13	0	0	0	0.0
wk16	5	13	0	0	0	0.0
wk20	6	13	74	73	1	1.35
wk22	7	13	607	554	53	8.73
PreCx	0	14	0	0	0	0.0
wk2	1	14	0	0	0	0.0
wk4	2	14	0	0	0	0.0
wk8	3	14	0	0	0	0.0
wk12	4	14	0	0	0	0.0
wk16	5	14	1	1	0	0.0
wk20	6	14	23	23	0	0.0
wk22	7	14	290	290	0	0.0
PreCx	0	15	255	255	0	0.0
wk2	1	15	0	0	0	0.0
wk4	2	15	0	0	0	0.0
wk8	3	15	0	0	0	0.0
wk12	4	15	0	0	0	0.0
wk16	5	15	0	0	0	0.0
wk20	6	15	0	0	0	0.0
wk22	7	15	0	0	0	0.0
PreCx	0	16	0	0	0	0.0
wk2	1	16	0	0	0	0.0
wk4	2	16	0	0	0	0.0
wk8	3	16	0	0	0	0.0
wk12	4	16	145	142	3	2.07
wk16	5	16	0	0	0	0.0
wk20	6	16	0	0	0	0.0
wk22	7	16	0	0	0	0.0
PreCx	0	17	0	0	0	0.0
wk2	1	17	0	0	0	0.0
wk4	2	17	0	0	0	0.0
wk8	3	17	1	1	0	0.0
wk12	4	17	66	66	0	0.0
wk16	5	17	56	54	2	3.57
wk20	6	17	3	3	0	0.0
wk22	7	17	2	2	0	0.0
