# Supplementary Table T3. Per-cluster differentially expressed genes (Seurat FindAllMarkers;
# one-tailed Wilcoxon, Bonferroni-adjusted p_val_adj). One row per (cluster, gene).
cluster	gene	avg_log2FC	pct.1	pct.2	p_val	p_val_adj
0	AC090572.2	2.202930783	0.553	0.107	0.0	0.0
0	ABCA12	2.184759122	0.801	0.247	0.0	0.0
0	AC009478.1	1.929188793	0.937	0.417	0.0	0.0
0	TTC6	1.868662201	0.993	0.487	0.0	0.0
0	NAALADL2	1.815848473	0.985	0.637	0.0	0.0
0	MIR99AHG	1.810205763	0.883	0.613	0.0	0.0
0	CPNE4	1.695083217	0.995	0.486	0.0	0.0
0	CPA6	1.685368472	0.664	0.216	0.0	0.0
0	DIAPH2	1.582802221	0.926	0.592	0.0	0.0
0	MYRIP	1.56050725	0.774	0.407	0.0	0.0
0	AC109779.1	1.555666323	0.542	0.177	0.0	0.0
0	IL1RAPL1	1.506317378	0.799	0.349	0.0	0.0
0	ARHGEF38	1.487788402	0.9	0.445	0.0	0.0
0	PCDH19	1.481438831	0.567	0.197	0.0	0.0
0	MID1	1.457382581	0.945	0.517	0.0	0.0
0	PCDH11X	1.439992058	0.814	0.344	0.0	0.0
0	SORL1	1.434396802	0.814	0.385	0.0	0.0
0	SCHLAP1	1.390084367	0.999	0.948	0.0	0.0
0	MT-ND4L	1.384974572	0.951	0.714	0.0	0.0
0	RAD51B	1.360537359	0.929	0.712	0.0	0.0
0	LUZP2	1.349115178	0.843	0.369	0.0	0.0
0	GRHL2	1.308322052	0.888	0.438	0.0	0.0
0	SDC2	1.278716655	0.715	0.439	0.0	0.0
0	CPQ	1.275344372	0.824	0.545	0.0	0.0
0	SPATA6	1.274638986	0.884	0.629	0.0	0.0
0	CNGB3	1.260115048	0.326	0.057	0.0	0.0
0	LRRN1	1.255396375	0.889	0.641	0.0	0.0
0	MT-ND3	1.254109954	0.999	0.993	0.0	0.0
0	MT-ATP8	1.2531844	0.92	0.693	0.0	0.0
0	THRB	1.215862159	0.784	0.414	0.0	0.0
0	GSTCD	1.210262005	0.842	0.597	0.0	0.0
0	UTRN	1.207410067	0.956	0.476	0.0	0.0
0	KIAA1217	1.197962106	0.928	0.676	0.0	0.0
0	ACER3	1.189636053	0.912	0.658	0.0	0.0
0	AC097480.1	1.181616905	0.431	0.163	0.0	0.0
0	LINC01036	1.180176331	0.458	0.119	0.0	0.0
0	GARNL3	1.178329387	0.723	0.36	0.0	0.0
0	RALGPS1	1.170056207	0.792	0.557	0.0	0.0
0	HS3ST4	1.153137884	0.617	0.218	0.0	0.0
0	ANTXR1	1.151562717	0.907	0.666	0.0	0.0
0	DNAH8	1.121246166	0.911	0.708	0.0	0.0
0	PRKD1	1.114762599	0.893	0.576	0.0	0.0
0	LIMCH1	1.080414729	0.774	0.421	0.0	0.0
0	SHROOM3	1.068168303	0.795	0.401	0.0	0.0
0	STXBP5L	1.06381613	0.944	0.817	0.0	0.0
0	AL121790.1	1.057654319	0.64	0.275	0.0	0.0
0	PPP3CA	1.049367475	0.997	0.884	0.0	0.0
0	ZNF680	1.047630103	0.78	0.53	0.0	0.0
0	GRM8	1.038466338	0.781	0.481	0.0	0.0
0	FRAS1	1.035322179	0.643	0.294	0.0	0.0
0	PRR16	1.033223802	0.417	0.159	0.0	0.0
0	AC100768.2	1.033190747	0.574	0.245	0.0	0.0
0	OPHN1	1.023936011	0.711	0.353	0.0	0.0
0	PLCG2	1.02290684	0.621	0.338	0.0	0.0
0	PRKG1	1.019590553	0.919	0.687	0.0	0.0
0	STXBP5	1.019102028	0.973	0.821	0.0	0.0
0	TRPS1	1.012502172	0.803	0.494	0.0	0.0
0	MAPK10	1.012394484	0.943	0.847	0.0	0.0
0	MAGI1	0.990333228	0.926	0.793	0.0	0.0
0	THSD4	0.98626469	0.85	0.611	0.0	0.0
0	INTS12	0.977955597	0.744	0.534	0.0	0.0
0	AR	0.976836543	0.814	0.4	0.0	0.0
0	PARD3B	0.961507815	0.846	0.48	0.0	0.0
0	CNTNAP2	0.957761762	0.91	0.639	0.0	0.0
0	PDE8B	0.956688104	0.583	0.263	0.0	0.0
0	CDKL5	0.945403247	0.714	0.481	0.0	0.0
0	BMPR1B	0.926068063	0.833	0.403	0.0	0.0
0	GRB10	0.924623299	0.718	0.391	0.0	0.0
