# Supplementary Table T4. SCENIC regulons and regulon specificity scores (RSS).
# 200 active regulons x 18 clusters (pySCENIC, 20-run consensus; 7,878-cell/8-sample
# subset). regulon suffix (+)/(-) = activating/repressing. RSS = Jensen-Shannon specificity;
# rss_rank_in_cluster = 1 is the most cluster-specific regulon. Long format: one row per (cluster, regulon).
cluster	regulon	RSS	rss_rank_in_cluster
0	GLI3_(+)	0.2969	1
0	GATA2_(+)	0.2882	2
0	ZEB2_(-)	0.2862	3
0	MZF1_(+)	0.2846	4
0	NFIA_(+)	0.2716	5
0	ZNF148_(+)	0.2708	6
0	FOXP1_(+)	0.2702	7
0	FOXA1_(+)	0.2687	8
0	GATAD1_(+)	0.2679	9
0	TFDP2_(+)	0.2666	10
0	EBF1_(-)	0.2649	11
0	MECP2_(+)	0.2625	12
0	ZEB1_(-)	0.2616	13
0	ZNF704_(+)	0.2612	14
0	HOXA13_(+)	0.2602	15
0	NFKB1_(+)	0.2586	16
0	FOXO3_(+)	0.258	17
0	NR3C1_(+)	0.2579	18
0	SATB2_(+)	0.2578	19
0	RFX3_(+)	0.256	20
0	SMAD3_(+)	0.2556	21
0	TCF7_(+)	0.2552	22
0	PURA_(+)	0.255	23
0	FOXN2_(+)	0.2538	24
0	TCF7L1_(+)	0.2534	25
0	BCLAF1_(+)	0.2532	26
0	RARG_(+)	0.2531	27
0	POU2F1_(+)	0.2524	28
0	ZBTB21_(+)	0.252	29
0	TAF1_(+)	0.2517	30
0	BACH1_(+)	0.2516	31
0	BPTF_(+)	0.2506	32
0	JUNB_(+)	0.2506	32
0	MAF_(+)	0.2497	34
0	FOSB_(+)	0.2495	35
0	BARX2_(+)	0.2493	36
0	NKX3-1_(+)	0.2491	37
0	STAT2_(+)	0.2486	38
0	ZFX_(+)	0.2481	39
0	STAT3_(+)	0.2477	40
0	ELF1_(+)	0.2475	41
0	JUN_(+)	0.2475	41
0	VEZF1_(+)	0.2474	43
0	EP300_(+)	0.2472	44
0	FOXA2_(-)	0.2467	45
0	ELK4_(+)	0.2462	46
0	STAT1_(+)	0.2461	47
0	HNF4A_(+)	0.246	48
0	ATF3_(+)	0.2459	49
0	MXI1_(+)	0.2457	50
0	PLAGL1_(+)	0.2456	51
0	CEBPB_(+)	0.2449	52
0	MBD2_(+)	0.2449	52
0	RXRA_(+)	0.2448	54
0	FOS_(+)	0.2447	55
0	SIN3A_(+)	0.2447	55
0	NFIC_(+)	0.2445	57
0	EGR2_(+)	0.2443	58
0	KLF6_(+)	0.2443	58
0	EGR3_(+)	0.2439	60
0	EGR1_(+)	0.2435	61
0	MAFF_(+)	0.2433	62
0	CHD1_(+)	0.243	63
0	CEBPD_(+)	0.2419	64
0	ELF2_(+)	0.2418	65
0	SP4_(+)	0.2416	66
0	HOXB13_(+)	0.2414	67
0	IRX2_(+)	0.241	68
0	KLF5_(+)	0.2407	69
0	YY1_(+)	0.2407	69
0	NFIB_(+)	0.2404	71
0	E2F3_(+)	0.2399	72
0	SPDEF_(+)	0.2398	73
0	SRF_(+)	0.2389	74
0	SP3_(+)	0.2387	75
0	NFE2L2_(+)	0.2386	76
0	BRCA1_(+)	0.2384	77
0	KLF4_(+)	0.2383	78
0	MTF2_(+)	0.2374	79
0	BHLHE40_(+)	0.2369	80
0	KLF7_(+)	0.2366	81
0	MAFK_(+)	0.2365	82
0	RFX2_(+)	0.2365	82
0	SMARCC2_(+)	0.2362	84
0	JUND_(+)	0.2357	85
0	BCL6_(+)	0.2355	86
0	HMGA2_(+)	0.2351	87
0	FOXO3_(-)	0.2347	88
0	BACH2_(+)	0.2344	89
0	SOX4_(+)	0.2341	90
0	ATF3_(-)	0.2337	91
0	YBX1_(+)	0.233	92
0	ZNF580_(+)	0.233	92
