# Supplementary Table T6. HALLMARK_KRAS_SIGNALING_UP / _DN leading-edge genes per neuroendocrine cluster (R2#5).
# NE_lineage_marker: TRUE if the gene is in a curated NE/neuronal-lineage marker set (see caption). The UP and DN
# leading-edge sets are disjoint, so co-enrichment of both is non-contradictory. Script: scripts/kras_lineage_overlap.py.
cluster	hallmark_set	gene	avg_log2FC	p_val_adj	NE_lineage_marker
1	HALLMARK_KRAS_SIGNALING_DN	IGFBP2	2.023	0.0	True
1	HALLMARK_KRAS_SIGNALING_DN	EPHA5	1.376	0.0	True
1	HALLMARK_KRAS_SIGNALING_DN	CDKAL1	1.125	0.0	False
1	HALLMARK_KRAS_SIGNALING_DN	TFAP2B	1.032	0.0	False
1	HALLMARK_KRAS_SIGNALING_DN	AKR1B10	0.917	0.0	False
1	HALLMARK_KRAS_SIGNALING_DN	NR6A1	0.606	0.0	False
1	HALLMARK_KRAS_SIGNALING_DN	FGGY	0.515	0.0	False
1	HALLMARK_KRAS_SIGNALING_DN	VPS50	0.491	3.66e-175	False
1	HALLMARK_KRAS_SIGNALING_DN	CAMK1D	0.464	0.0	True
1	HALLMARK_KRAS_SIGNALING_DN	TENM2	0.453	2.98e-203	False
1	HALLMARK_KRAS_SIGNALING_DN	GPRC5C	0.396	8.32e-279	False
1	HALLMARK_KRAS_SIGNALING_DN	SLC16A7	0.374	0.0	False
1	HALLMARK_KRAS_SIGNALING_DN	PTPRJ	0.298	5.17e-140	False
1	HALLMARK_KRAS_SIGNALING_DN	SGK1	0.293	4.47e-154	False
1	HALLMARK_KRAS_SIGNALING_UP	CPE	1.278	0.0	True
1	HALLMARK_KRAS_SIGNALING_UP	PCP4	1.267	0.0	True
1	HALLMARK_KRAS_SIGNALING_UP	SPARCL1	1.22	0.0	False
1	HALLMARK_KRAS_SIGNALING_UP	SNAP25	1.16	0.0	True
1	HALLMARK_KRAS_SIGNALING_UP	ETV1	1.108	0.0	False
1	HALLMARK_KRAS_SIGNALING_UP	AKAP12	1.105	0.0	False
1	HALLMARK_KRAS_SIGNALING_UP	SCG3	1.072	0.0	True
1	HALLMARK_KRAS_SIGNALING_UP	RELN	0.852	0.0	False
1	HALLMARK_KRAS_SIGNALING_UP	KIF5C	0.556	0.0	True
1	HALLMARK_KRAS_SIGNALING_UP	NIN	0.544	0.0	False
1	HALLMARK_KRAS_SIGNALING_UP	PCSK1N	0.509	0.0	True
1	HALLMARK_KRAS_SIGNALING_UP	SATB1	0.488	0.0	False
1	HALLMARK_KRAS_SIGNALING_UP	SDCCAG8	0.471	0.0	False
1	HALLMARK_KRAS_SIGNALING_UP	HBEGF	0.442	1.11e-280	False
1	HALLMARK_KRAS_SIGNALING_UP	SNAP91	0.44	0.0	False
1	HALLMARK_KRAS_SIGNALING_UP	ETV5	0.44	0.0	False
1	HALLMARK_KRAS_SIGNALING_UP	PRKG2	0.345	0.0	False
1	HALLMARK_KRAS_SIGNALING_UP	PTBP2	0.344	2.06e-283	False
1	HALLMARK_KRAS_SIGNALING_UP	USP12	0.326	7.180000000000001e-210	False
1	HALLMARK_KRAS_SIGNALING_UP	EPHB2	0.303	0.0	False
1	HALLMARK_KRAS_SIGNALING_UP	HDAC9	0.271	6.4e-150	False
1	HALLMARK_KRAS_SIGNALING_UP	CBR4	0.261	6.64e-90	False
3	HALLMARK_KRAS_SIGNALING_DN	IGFBP2	1.333	0.0	True
3	HALLMARK_KRAS_SIGNALING_DN	TFAP2B	1.0	0.0	False
3	HALLMARK_KRAS_SIGNALING_DN	EPHA5	0.928	0.0	True
3	HALLMARK_KRAS_SIGNALING_DN	AKR1B10	0.745	0.0	False
3	HALLMARK_KRAS_SIGNALING_DN	CDKAL1	0.605	0.0	False
3	HALLMARK_KRAS_SIGNALING_DN	NR6A1	0.415	0.0	False
3	HALLMARK_KRAS_SIGNALING_DN	TENM2	0.41	0.0	False
3	HALLMARK_KRAS_SIGNALING_DN	SLC16A7	0.383	0.0	False
3	HALLMARK_KRAS_SIGNALING_DN	FGGY	0.349	0.0	False
3	HALLMARK_KRAS_SIGNALING_DN	CAMK1D	0.325	1.56e-256	True
3	HALLMARK_KRAS_SIGNALING_UP	PCP4	1.137	0.0	True
3	HALLMARK_KRAS_SIGNALING_UP	AKAP12	0.967	0.0	False
3	HALLMARK_KRAS_SIGNALING_UP	CPE	0.902	0.0	True
3	HALLMARK_KRAS_SIGNALING_UP	SNAP25	0.857	0.0	True
3	HALLMARK_KRAS_SIGNALING_UP	ETV1	0.831	0.0	False
3	HALLMARK_KRAS_SIGNALING_UP	SPARCL1	0.779	0.0	False
3	HALLMARK_KRAS_SIGNALING_UP	SCG3	0.74	0.0	True
3	HALLMARK_KRAS_SIGNALING_UP	KIF5C	0.567	0.0	True
3	HALLMARK_KRAS_SIGNALING_UP	SATB1	0.452	0.0	False
3	HALLMARK_KRAS_SIGNALING_UP	ETV5	0.45	0.0	False
3	HALLMARK_KRAS_SIGNALING_UP	RELN	0.44	0.0	False
3	HALLMARK_KRAS_SIGNALING_UP	DUSP6	0.364	0.0	False
3	HALLMARK_KRAS_SIGNALING_UP	PCSK1N	0.364	6.96e-287	True
3	HALLMARK_KRAS_SIGNALING_UP	SDCCAG8	0.347	1.2100000000000001e-251	False
3	HALLMARK_KRAS_SIGNALING_UP	HBEGF	0.336	0.0	False
3	HALLMARK_KRAS_SIGNALING_UP	NIN	0.334	0.0	False
3	HALLMARK_KRAS_SIGNALING_UP	F13A1	0.315	0.0	False
3	HALLMARK_KRAS_SIGNALING_UP	USP12	0.294	0.0	False
3	HALLMARK_KRAS_SIGNALING_UP	CBL	0.267	2.41e-286	False
7	HALLMARK_KRAS_SIGNALING_DN	EPHA5	1.322	0.0	True
7	HALLMARK_KRAS_SIGNALING_DN	CDKAL1	1.317	0.0	False
7	HALLMARK_KRAS_SIGNALING_DN	TENM2	0.943	1.85e-96	False
7	HALLMARK_KRAS_SIGNALING_DN	FGGY	0.914	5.2e-181	False
7	HALLMARK_KRAS_SIGNALING_DN	NR6A1	0.793	8.29e-121	False
7	HALLMARK_KRAS_SIGNALING_DN	CAMK1D	0.767	4.15e-99	True
7	HALLMARK_KRAS_SIGNALING_DN	TFAP2B	0.733	3.6e-172	False
7	HALLMARK_KRAS_SIGNALING_DN	VPS50	0.585	1.05e-07	False
7	HALLMARK_KRAS_SIGNALING_DN	SLC16A7	0.576	1.9000000000000002e-58	False
7	HALLMARK_KRAS_SIGNALING_DN	AKR1B10	0.444	4.96e-20	False
7	HALLMARK_KRAS_SIGNALING_UP	SNAP25	1.228	0.0	True
7	HALLMARK_KRAS_SIGNALING_UP	SPARCL1	1.063	5.8e-215	False
7	HALLMARK_KRAS_SIGNALING_UP	ETV1	0.824	2.2200000000000004e-124	False
7	HALLMARK_KRAS_SIGNALING_UP	CPE	0.819	1.07e-291	True
7	HALLMARK_KRAS_SIGNALING_UP	KIF5C	0.809	1.7899999999999998e-300	True
7	HALLMARK_KRAS_SIGNALING_UP	PTBP2	0.713	9.87e-165	False
7	HALLMARK_KRAS_SIGNALING_UP	NIN	0.633	1.04e-47	False
7	HALLMARK_KRAS_SIGNALING_UP	CBR4	0.626	1.79e-47	False
7	HALLMARK_KRAS_SIGNALING_UP	SNAP91	0.611	3.96e-19	False
7	HALLMARK_KRAS_SIGNALING_UP	HDAC9	0.608	4.1700000000000003e-51	False
7	HALLMARK_KRAS_SIGNALING_UP	AKAP12	0.558	1.56e-19	False
7	HALLMARK_KRAS_SIGNALING_UP	ETV5	0.517	1.18e-26	False
7	HALLMARK_KRAS_SIGNALING_UP	USP12	0.503	7.94e-08	False
7	HALLMARK_KRAS_SIGNALING_UP	RABGAP1L	0.476	6.14e-65	False
7	HALLMARK_KRAS_SIGNALING_UP	EVI5	0.45	1.72e-11	False
7	HALLMARK_KRAS_SIGNALING_UP	WDR33	0.382	3.27e-07	False
7	HALLMARK_KRAS_SIGNALING_UP	RBM4	0.259	0.018356585	False
9	HALLMARK_KRAS_SIGNALING_DN	IGFBP2	1.163	0.0	True
9	HALLMARK_KRAS_SIGNALING_DN	DLK2	0.824	0.0	False
9	HALLMARK_KRAS_SIGNALING_DN	MYO15A	0.76	0.0	False
9	HALLMARK_KRAS_SIGNALING_DN	AKR1B10	0.662	0.0	False
9	HALLMARK_KRAS_SIGNALING_DN	TFAP2B	0.651	0.0	False
9	HALLMARK_KRAS_SIGNALING_DN	FGGY	0.65	8.77e-232	False
9	HALLMARK_KRAS_SIGNALING_DN	PRKN	0.641	5.88e-157	False
9	HALLMARK_KRAS_SIGNALING_DN	SGK1	0.604	2.69e-296	False
9	HALLMARK_KRAS_SIGNALING_DN	EPHA5	0.569	2.8700000000000004e-291	True
9	HALLMARK_KRAS_SIGNALING_DN	CALCB	0.432	0.0	False
9	HALLMARK_KRAS_SIGNALING_DN	SHOX2	0.418	0.0	False
9	HALLMARK_KRAS_SIGNALING_DN	NR6A1	0.411	9.68e-199	False
9	HALLMARK_KRAS_SIGNALING_DN	TENM2	0.41	6.29e-173	False
9	HALLMARK_KRAS_SIGNALING_DN	SLC16A7	0.347	1.89e-228	False
9	HALLMARK_KRAS_SIGNALING_DN	SPTBN2	0.281	1.18e-117	False
9	HALLMARK_KRAS_SIGNALING_UP	PCP4	2.422	0.0	True
9	HALLMARK_KRAS_SIGNALING_UP	PTPRR	2.035	0.0	False
9	HALLMARK_KRAS_SIGNALING_UP	RELN	0.852	0.0	False
9	HALLMARK_KRAS_SIGNALING_UP	HDAC9	0.738	5.59e-169	False
9	HALLMARK_KRAS_SIGNALING_UP	SCG3	0.699	0.0	True
9	HALLMARK_KRAS_SIGNALING_UP	NIN	0.656	2.04e-227	False
9	HALLMARK_KRAS_SIGNALING_UP	SDCCAG8	0.638	1.76e-218	False
9	HALLMARK_KRAS_SIGNALING_UP	ETV5	0.606	0.0	False
9	HALLMARK_KRAS_SIGNALING_UP	SNAP25	0.578	1.41e-282	True
9	HALLMARK_KRAS_SIGNALING_UP	SATB1	0.575	0.0	False
9	HALLMARK_KRAS_SIGNALING_UP	CPE	0.557	7.85e-193	True
9	HALLMARK_KRAS_SIGNALING_UP	PRKG2	0.481	0.0	False
9	HALLMARK_KRAS_SIGNALING_UP	SPARCL1	0.474	1.23e-196	False
9	HALLMARK_KRAS_SIGNALING_UP	EPHB2	0.369	1.38e-240	False
9	HALLMARK_KRAS_SIGNALING_UP	F13A1	0.36	6.51e-254	False
9	HALLMARK_KRAS_SIGNALING_UP	EVI5	0.308	4.04e-61	False
9	HALLMARK_KRAS_SIGNALING_UP	PCSK1N	0.29	6.35e-67	True
9	HALLMARK_KRAS_SIGNALING_UP	DUSP6	0.275	5.499999999999999e-128	False
9	HALLMARK_KRAS_SIGNALING_UP	RGS16	0.258	6.049999999999998e-159	False
10	HALLMARK_KRAS_SIGNALING_DN	CAMK1D	1.403	5.4400000000000005e-272	True
10	HALLMARK_KRAS_SIGNALING_DN	IGFBP2	1.055	1.18e-103	True
10	HALLMARK_KRAS_SIGNALING_DN	CDKAL1	0.589	1.4e-70	False
