# Supplementary Table T8. Integration quality-control metrics (R1#3). Tidy long format; one metric per row.
# section: local_mixing (iLISI/cLISI), global_permanova (R2, sd, pseudo-F, p), group_dispersion,
# cl17_directed_kNN_k30 (cluster-17 clinical-neighbor fractions + EMT), resolution_sweep (ARI/NMI; selected res=0.55).
# condition naive_PCA = before Harmony; Harmony = after. Full metrics also in data/integration_qc/ and data/agreement/.
section	metric	condition	value
local_mixing	iLISI_median	naive_PCA	1.0
local_mixing	cLISI_median	naive_PCA	1.2527
local_mixing	iLISI_median	Harmony	1.0
local_mixing	cLISI_median	Harmony	1.2729
global_permanova	R2_mean	naive_PCA	0.1815
global_permanova	R2_sd	naive_PCA	0.0022
global_permanova	pseudoF_mean	naive_PCA	221.47
global_permanova	p	naive_PCA	0.001
global_permanova	R2_mean	Harmony	0.1045
global_permanova	R2_sd	Harmony	0.0047
global_permanova	pseudoF_mean	Harmony	116.51
global_permanova	p	Harmony	0.001
group_dispersion	mean_dist_to_centroid	naive_PCA|Gao	21.346
group_dispersion	mean_dist_to_centroid	naive_PCA|LTL331	22.819
group_dispersion	mean_dist_to_centroid	naive_PCA|Li	20.534
group_dispersion	mean_dist_to_centroid	Harmony|Gao	14.636
group_dispersion	mean_dist_to_centroid	Harmony|LTL331	22.07
group_dispersion	mean_dist_to_centroid	Harmony|Li	14.89
cl17_directed_kNN_k30	mean_frac_clinical	naive_PCA	0.0013
cl17_directed_kNN_k30	mean_frac_Gao	naive_PCA	0.0
cl17_directed_kNN_k30	mean_frac_LTL331	naive_PCA	0.9987
cl17_directed_kNN_k30	mean_frac_Li	naive_PCA	0.0013
cl17_directed_kNN_k30	mean_neighbor_EMT	naive_PCA	0.7107
cl17_directed_kNN_k30	mean_query_EMT	naive_PCA	0.7974
cl17_directed_kNN_k30	mean_frac_clinical	Harmony	0.3656
cl17_directed_kNN_k30	mean_frac_Gao	Harmony	0.3289
cl17_directed_kNN_k30	mean_frac_LTL331	Harmony	0.6344
cl17_directed_kNN_k30	mean_frac_Li	Harmony	0.0367
cl17_directed_kNN_k30	mean_neighbor_EMT	Harmony	0.4018
cl17_directed_kNN_k30	mean_query_EMT	Harmony	0.7974
resolution_sweep	ARI	res0.4|Gao	0.5658
resolution_sweep	NMI	res0.4|Gao	0.7656
resolution_sweep	ARI	res0.4|LTL331	0.6056
resolution_sweep	NMI	res0.4|LTL331	0.6822
resolution_sweep	ARI	res0.4|Li	0.7598
resolution_sweep	NMI	res0.4|Li	0.7989
resolution_sweep	ARI	res0.4|ALL	0.4083
resolution_sweep	NMI	res0.4|ALL	0.5531
resolution_sweep	ARI	res0.5|Gao	0.6705
resolution_sweep	NMI	res0.5|Gao	0.7996
resolution_sweep	ARI	res0.5|LTL331	0.6536
resolution_sweep	NMI	res0.5|LTL331	0.7121
resolution_sweep	ARI	res0.5|Li	0.6136
resolution_sweep	NMI	res0.5|Li	0.7461
resolution_sweep	ARI	res0.5|ALL	0.4464
resolution_sweep	NMI	res0.5|ALL	0.5883
resolution_sweep	ARI	res0.55|Gao	0.6708
resolution_sweep	NMI	res0.55|Gao	0.8004
resolution_sweep	ARI	res0.55|LTL331	0.633
resolution_sweep	NMI	res0.55|LTL331	0.7
resolution_sweep	ARI	res0.55|Li	0.6812
resolution_sweep	NMI	res0.55|Li	0.7585
resolution_sweep	ARI	res0.55|ALL	0.4345
resolution_sweep	NMI	res0.55|ALL	0.5784
resolution_sweep	ARI	res0.6|Gao	0.6731
resolution_sweep	NMI	res0.6|Gao	0.8042
resolution_sweep	ARI	res0.6|LTL331	0.6388
resolution_sweep	NMI	res0.6|LTL331	0.7033
resolution_sweep	ARI	res0.6|Li	0.6086
resolution_sweep	NMI	res0.6|Li	0.7351
resolution_sweep	ARI	res0.6|ALL	0.4396
resolution_sweep	NMI	res0.6|ALL	0.5818
resolution_sweep	ARI	res0.65|Gao	0.6787
resolution_sweep	NMI	res0.65|Gao	0.8093
resolution_sweep	ARI	res0.65|LTL331	0.6552
resolution_sweep	NMI	res0.65|LTL331	0.7145
resolution_sweep	ARI	res0.65|Li	0.6179
resolution_sweep	NMI	res0.65|Li	0.7493
resolution_sweep	ARI	res0.65|ALL	0.4471
resolution_sweep	NMI	res0.65|ALL	0.5922
resolution_sweep	ARI	res0.7|Gao	0.6505
resolution_sweep	NMI	res0.7|Gao	0.8042
resolution_sweep	ARI	res0.7|LTL331	0.6313
resolution_sweep	NMI	res0.7|LTL331	0.71
resolution_sweep	ARI	res0.7|Li	0.6171
resolution_sweep	NMI	res0.7|Li	0.7365
resolution_sweep	ARI	res0.7|ALL	0.4267
resolution_sweep	NMI	res0.7|ALL	0.5891
resolution_sweep	ARI	res0.75|Gao	0.6702
resolution_sweep	NMI	res0.75|Gao	0.8049
resolution_sweep	ARI	res0.75|LTL331	0.5415
resolution_sweep	NMI	res0.75|LTL331	0.6851
resolution_sweep	ARI	res0.75|Li	0.6168
resolution_sweep	NMI	res0.75|Li	0.7419
resolution_sweep	ARI	res0.75|ALL	0.3653
resolution_sweep	NMI	res0.75|ALL	0.5778
resolution_sweep	ARI	res0.8|Gao	0.6685
resolution_sweep	NMI	res0.8|Gao	0.7985
resolution_sweep	ARI	res0.8|LTL331	0.645
resolution_sweep	NMI	res0.8|LTL331	0.7218
resolution_sweep	ARI	res0.8|Li	0.6104
resolution_sweep	NMI	res0.8|Li	0.7307
resolution_sweep	ARI	res0.8|ALL	0.4257
resolution_sweep	NMI	res0.8|ALL	0.598
